id,ten,loai,vi,tinh,mua,nlc,nlp,mo_ta,image_path
D11,Chả nướng chợ Gạo,Món nướng,"Mặn, Ngọt",Tiền Giang,Mùa khô,"Gạo, Thịt, Trứng",Rau củ quả,"Chả nướng là món ăn độc đáo xuất hiện trong các dịp giỗ chạp hoặc lễ tết ở Tiền Giang. Nguyên liệu làm chả nướng chẳng khác chả trứng vịt hấp là bao. Thường là thịt nạc vai và trứng vịt. Dù mang tiếng là nướng nhưng chả được đặt trong nồi gang chứ không nướng trực tiếp. Để giữ nguyên vị người ta nướng trên than hồng khoảng nửa tiếng khi mặt chả khô và ánh vàng là được. Chả nướng có mùi thơm của trứng nướng, ngọt béo của thịt heo. Chả nướng Chợ Gạo ăn kèm rau sống, bánh tráng và nước mắm pha chua ngọt. ",D11.png
D12,Bánh tét cốm dẹp,Món bánh,"Béo, Ngọt",Trà Vinh,Mùa tết,Nếp,"Rau củ quả, Nước cốt dừa","Bánh tét cốm dẹp là loại bánh truyền thống của người dân Trà Vinh. Bánh được gói bên ngoài bằng nhiều lớp lá chuối xiêm và to chùng nắm tay. Món bánh trở thành đặc sản có một không hai bởi vỏ bánh được gói bằng cốm dẹt.  Những mảnh cốm trong dẹt được trộn vói nước cốt dừa rồi trộn và bắt nhân lúc còn nóng. Nhân bánh thường có hai loại: đậu xanh, dừa. Bánh tét cốm dẹt khi chín có mùi thơm của nếp, phần vỏ bánh mềm mịn dai không gây ngán cho người thưởng thức. ",D12.png
D13,Hủ tiếu Sa Đéc,Món nước,"Mặn, Ngọt",Đồng Tháp,Quanh năm,"Hủ tiếu, Thịt, Hải sản",Rau củ quả,"Hủ tiếu Sa Đéc là món đặc sản nổi tiếng của Đồng Tháp, nổi bật với sợi hủ tiếu làm từ bột gạo, có cọng to, màu trắng đục, dai mềm độc đáo; nước dùng ngọt thanh từ xương hầm, kết hợp với topping tôm, thịt, gan, trứng cút và nước mắm/giấm ớt, tạo nên hương vị thơm ngon đặc trưng khó cưỡng.",D13.png
D14,Hủ tiếu Mỹ Tho,Món nước,"Mặn, Ngọt",Tiền Giang,Quanh năm,"Hủ tiếu, Thịt, Hải sản",Rau củ quả,"Hủ tiếu Mỹ Tho – đặc sản trứ danh Tiền Giang, mang đậm hương vị miền Tây Nam Bộ. Sợi hủ tiếu từ gạo Gò Cát dai, giòn, trắng trong và thơm nhẹ, kết hợp cùng nước lèo ngọt thanh ninh từ xương heo và tôm khô. Topping phong phú gồm thịt heo, tôm, gan, trứng cút, giá sống và hẹ, tạo nên hương vị hài hòa. ",D14.png
D15,Vịt nấu chao,Món nước,"Béo, Mặn",Cần Thơ,Mùa mưa,Thịt,"Rau củ quả, Chao","Vịt nấu chao là một món ăn truyền thống đặc trưng của người dân Cần Thơ. Vịt được tẩm ướp kỹ lưỡng nhằm thấm đều gia vị, sau đó nấu chín trong nước chao đậm đà kết hợp cùng các loại rau củ như khoai môn hay rau muống, mang đến sự cân bằng và hấp dẫn trong từng miếng ăn. Với sự kết hợp hài hòa giữa thịt vịt mềm thơm, vị béo ngậy của nước cốt dừa, và hương vị đậm đà, độc đáo của chao. Đây là món ăn lý tưởng cho những bữa sum họp gia đình hoặc các buổi tiệc quây quần với bạn bè",D15.png
D16,Gà đốt lá chúc,Món nướng,"Mặn, Ngọt",An Giang,Quanh năm,Thịt,Lá chúc,"Gà đốt lá chúc là món ăn đặc trưng của An Giang. Món này kết hợp vị đậm đà từ gà ta chắc thịt với hương thơm độc đáo của lá chúc – một loại lá thơm hiếm có ở khu vực này. Gà được làm sạch, ướp gia vị kỹ lưỡng theo bí quyết riêng rồi nướng cùng lá chúc. Lá thường lót bên dưới hoặc bọc ngoài gà, giúp giữ trọn hương vị tự nhiên trong quá trình chế biến, tạo nên mùi thơm hấp dẫn khó quên. Nếu bạn ghé thăm miền Tây, đừng bỏ lỡ cơ hội thưởng thức gà đốt lá chúc – một nét tinh hoa trong ẩm thực truyền thống và sự khéo léo của người dân nơi đây.",D16.png
D17,Ốc len xào dừa,Món xào,"Ngọt, Béo",Bến Tre,Mùa mưa,Hải sản,Nước cốt dừa,"Ốc len xào dừa là một món ăn đặc trưng mang đậm hương vị miền Tây, đặc biệt nổi tiếng tại Bến Tre. Ốc len được chọn lọc kỹ lưỡng, thường là những con to, tươi ngon, giữ được độ dai và ngọt tự nhiên. Sau đó xào cùng với nước cốt dừa sánh mịn, thêm vào các loại gia vị vừa ăn để tăng phần đậm đà. Đây là sự hòa quyện hoàn hảo giữa ốc len béo ngậy và nước cốt dừa thơm lừng, tạo nên hương vị vừa đậm đà vừa hấp dẫn khó cưỡng.",D17.png
D18,Bún quậy Phú Quốc,Món nước,"Mặn, Ngọt",Kiên Giang,Quanh năm,"Bún, Hải sản",Rau củ quả,"Bún quậy Phú Quốc, một món đặc sản độc đáo của hòn đảo xinh đẹp thuộc tỉnh Kiên Giang. Điều làm bún quậy trở nên khác biệt chính là cách làm bún tươi ngay tại chỗ. Khi khách gọi món, bún mới bắt đầu được ép và trụng qua nước sôi, đảm bảo giữ nguyên độ dai, mềm tự nhiên. Nước lèo của món ăn có màu trong vắt, vị thanh ngọt, được nấu từ tôm, mực và cá tươi, tạo nên hương vị biển cả thơm ngon khó cưỡng. Khi thưởng thức, thực khách sẽ cảm nhận sự hòa quyện giữa các nguyên liệu tươi ngon như tôm xay nhuyễn, chả cá và mực.",D18.png
D19,Bánh Tét lá Cẩm,Món bánh,"Béo, Ngọt",Cần Thơ,Mùa tết,Nếp,"Nước cốt dừa, Rau củ quả","Bánh Tét lá Cẩm là một đặc sản đặc trưng của vùng đất Cần Thơ, nổi tiếng khắp Việt Nam bởi hương vị độc đáo và màu sắc bắt mắt. Điểm nhấn của loại bánh này nằm ở lớp nếp dẻo thơm được nhuộm màu tím tự nhiên từ lá cẩm – một loại lá mang lại không chỉ màu sắc hấp dẫn mà còn vị thanh nhẹ, riêng biệt. Bên trong bánh là nhân đậu xanh bùi béo hòa quyện cùng thịt ba chỉ mặn mà, tạo nên sự hài hòa giữa các vị ngọt, bùi và mặn. Bánh được gói gọn gàng bằng lá chuối, sau đó nấu chín kỹ lưỡng để cho ra lớp vỏ mềm dẻo, không bị khô. Ngoài hương vị thơm ngon, Bánh Tét lá Cẩm còn mang giá trị văn hóa sâu sắc, thường xuất hiện trong các dịp lễ Tết, như một biểu tượng của sự đoàn viên và ấm no.",D19.png
D20,Bún bò cay,Món nước,Cay,Bạc Liêu,Mùa mưa,"Bún, Thịt",Rau củ quả,"Với du khách, đến Bạc Liêu mà chưa ăn thử bún bò cay thì coi như bạn đã bỏ phí chuyến đi hành trình của mình. Tô bún bò ghi điểm với thực khách nhờ vị cay nồng của ớt, mùi thơm của các loại gia vị như sả, hồi, quế… hòa quyện với nước lèo đậm đà, sóng sánh ánh đỏ và có vị ngọt. Khi ăn, bạn sẽ cảm nhận được sợi bún trắng mềm, thịt bò chín tái cùng với nước dùng cay cay, đậm đà, bùng nổ vị giác. Trong những buổi chiều trở gió hay khi cơn mưa vừa dứt, được ăn bát bún bò cay đúng chất Bạc Liêu thì không có gì có thể hấp dẫn được bằng.",D20.png
D21,Củ hủ dừa xào tép nhảy,Món xào,"Mặn, Ngọt",Bến Tre,Mùa khô,Hải sản,Rau củ quả,"Củ hủ dừa xào tép nhảy là một món ăn dân dã gắn liền với vùng đất Bến Tre, nơi nổi tiếng với những rặng dừa xanh bát ngát. Đây là sự kết hợp hài hòa giữa củ hủ dừa giòn ngọt, tươi mát và tép nhảy nhỏ xíu nhưng đầy hương vị. Củ hủ dừa, phần non nhất ở lõi thân cây dừa, kết hợp cùng tép nhảy - loại tép tươi sống được bắt lên từ sông nước miền Tây - món ăn này trở thành một tuyệt phẩm không chỉ về hương vị mà còn mang đậm nét đặc trưng của ẩm thực xứ dừa. Nếu có dịp đến đây, bạn hãy  thưởng thức để cảm nhận được trọn vẹn sự tinh tế trong ẩm thực quê hương này.",D21.png
D22,Bánh tráng Mỹ Lồng,Món bánh,Béo,Bến Tre,Quanh năm,Bột,Nước cốt dừa,"Bánh tráng Mỹ Lồng là một đặc sản nổi tiếng không thể bỏ qua khi nhắc đến Bến Tre. Sản phẩm này được làm từ những nguyên liệu tự nhiên, đơn giản nhưng chất lượng như bột gạo, nước cốt dừa, mè và muối, kết hợp cùng kỹ thuật tráng bánh khéo léo của người dân địa phương. Điểm đặc biệt của bánh tráng Mỹ Lồng nằm ở vị béo ngậy của nước cốt dừa hòa quyện với độ giòn rụm khi nướng lên, mang lại trải nghiệm ẩm thực khó quên. Loại bánh này không chỉ là món ăn vặt thơm ngon mà còn gắn liền với những giá trị văn hóa đậm chất miền Tây sông nước. ",D22.png
D23,Ốc bươu xanh nướng tiêu,Món nướng,"Cay, Mặn",Cần Thơ,Mùa khô,Hải sản,Rau củ quả,"Ốc bươu xanh nướng tiêu – một món ăn đặc sản trứ danh của Cần Thơ – mang đậm hương vị vùng sông nước miền Tây. Với lớp vỏ xanh óng ánh hấp dẫn, những con ốc được chọn lựa kỹ càng đảm bảo độ tươi ngon, kết hợp cùng sốt tiêu cay nồng tạo nên một hương vị vừa mặn, vừa cay, vừa thơm. Ốc sau đó được nướng trên bếp than hồng, mùi thơm của thịt ốc quyện với mùi khói đặc trưng khiến bất kỳ ai ngửi qua cũng khó lòng cưỡng lại. Nếu có dịp ghé thăm, đừng bỏ lỡ cơ hội trải nghiệm hương vị thơm ngon độc đáo này.",D23.png
D24,Canh chua cá chốt,Món nước,"Chua, Ngọt",Long An,Mùa mưa,Cá,Rau củ quả,"Canh chua cá chốt là một món ăn dân dã, mang đậm hương vị đặc trưng của vùng đất Long An.Cá chốt, loài cá quen thuộc ở miền sông nước, được lựa chọn kỹ càng để giữ được độ tươi ngon và béo ngậy. Khi nấu canh chua, cá chốt thấm đượm vị chua ngọt từ nước dùng, tạo nên hương vị vô cùng hấp dẫn. Điểm xuyết cho món canh là cà chua đỏ mọng, đậu bắp và giá sống giòn giòn, cùng chút rau ngổ hay ngò gai thơm lừng mang trong mình sự kết hợp hài hòa giữa vị chua dịu của trái me, chút ngọt thanh từ cá chốt tươi và hương thơm của các loại rau nêm.",D24.png
D25,Bún cá Châu Đốc,Món nước,"Ngọt, Mặn",An Giang,Quanh năm,"Bún, Cá","Mắm, Rau củ quả","Bún cá Châu Đốc, đặc sản nổi tiếng của vùng đất An Giang, là món ăn mang đậm hương vị miền Tây Nam Bộ, hấp dẫn thực khách từ cái nhìn đầu tiên.  Nước dùng bún cá được chế biến công phu, thơm ngon từ cá tươi, kết hợp với các loại gia vị đặc trưng như nghệ, sả, và mắm ruốc, tạo nên hương thơm nồng đượm và vị ngọt thanh tao. Phần thịt cá lóc béo ngậy, mềm mại xen lẫn những lát nghệ vàng óng, không chỉ bắt mắt mà còn quyến rũ về vị giác. Điểm đặc biệt của bún cá Châu Đốc chính là sự kết hợp hài hòa giữa nguyên liệu và rau sống ăn kèm như bắp chuối, rau muống, giá và hẹ, làm tăng sự tươi mát cho món ăn. Thưởng thức một tô bún cá Châu Đốc vào buổi sáng sớm hay chiều muộn bên con nước hiền hòa của An Giang là trải nghiệm không thể bỏ lỡ khi đến với miền Tây. ",D25.png
D26,Gỏi ngó sen tôm thịt,Món gỏi,"Chua, Ngọt, Mặn",Đồng Tháp,Mùa nước nổi,"Thịt, Hải sản",Sen,"Gỏi ngó sen tôm thịt là một món ăn đặc sản độc đáo và không thể bỏ qua khi nhắc đến ẩm thực Đồng Tháp. Được chế biến từ những nguyên liệu tươi ngon, gỏi ngó sen kết hợp hài hòa giữa vị giòn mát của ngó sen, vị đậm đà của tôm cùng thịt heo mềm thơm, tạo nên một hương vị khó quên. Khi ăn kèm với nước mắm chua cay mặn ngọt và chút rau thơm, từng miếng gỏi càng trở nên đậm đà và hấp dẫn hơn. Gỏi ngó sen tôm thịt không chỉ là một món ăn, mà còn là biểu tượng cho hương vị giản dị nhưng sâu sắc của ẩm thực địa phương. Đây chắc chắn là trải nghiệm ẩm thực mà bạn không nên bỏ lỡ khi đến với mảnh đất Đồng Tháp thân thương",D26.png
D27,Bánh bò thốt nốt,Món bánh,"Ngọt, Béo",An Giang,Quanh năm,"Bột, Gạo",Nước cốt dừa,"Bánh bò thốt nốt, đặc sản nổi bật của An Giang, thể hiện sự giao thoa văn hóa giữa Kinh, Khmer và Chăm. Loại bánh này được làm từ bột gạo, nước cốt dừa và đường thốt nốt – nguyên liệu đặc trưng của vùng. Hòa quyện hoàn hảo giữa nước cốt dừa béo ngậy và vị ngọt thanh. Đây là món quà mộc mạc, đậm tình quê hương, thường được du khách chọn làm quà sau mỗi chuyến thăm An Giang. ",D27.png
D28,Bún nước lèo Trà Vinh,Món nước,"Ngọt, Mặn",Trà Vinh,Quanh năm,"Bún, Cá, Thịt",Mắm,"Người ta vẫn thường nói vui với nhau: ""Chưa ăn bún nước lèo xem như chưa đến Trà Vinh"". Món ăn này trở nên đặc biệt bởi vị mắm bò hóc  của  người  Khmer và thêm  món thịt  heo  quay  của  người  Hoa. Nguyên liệu chính để làm nên hương vị đặc trưng của bún nước lèo Trà Vinh là mắm bò hóc - mắm làm từ cá hỗn hợp còn có tên là prahok hay pro hoc. Để nước dùng ngọt người ta thêm nhiều loại cá như cá lóc, cá kèo, tôm, cá ngát... Món ăn này cần nhiều loại rau sống ăn kèm như bắp chuối, rau muống bào, bông súng, rau thơm... Ngoài ra thịt heo quay giòn bì, thơm nức cũng góp phần làm nên hương vị đặc trưng của bún nước lèo Trà Vinh. Đây là một món ăn thơm ngon, phù hợp để thưởng thức ở bất cứ thời điểm nào trong năm.",D28.png
D29,Cua Cà Mau hấp,Món hấp,"Ngọt, Mặn",Cà Mau,Mùa mưa,Hải sản,Rau củ quả,"Cua Cà Mau hấp luôn là món ăn yêu thích của nhiều người nhờ cách chế biến đơn giản nhưng vẫn giữ trọn vẹn hương vị tươi ngon và ngọt thịt đặc trưng. Khi chấm cùng muối tiêu chanh hoặc muối ớt xanh, kết hợp với rau củ quả tươi sống, hương vị trở nên đặc sắc đến khó cưỡng. Thời điểm lý tưởng để thưởng thức cua Cà Mau là vào khoảng tháng 7 đến tháng 8 âm lịch, khi cua đang trong mùa sinh sản. Lúc này, cua thường đầy thịt, chắc, béo ngậy và chứa nhiều gạch; đặc biệt là cua gạch son và cua cốm đạt chất lượng ngon nhất trong năm. ",D29.png
D30,Bánh canh bột xắt,Món nước,"Béo, Ngọt",Bến Tre,Quanh năm,"Bột, Thịt",Nước cốt dừa,"Bánh canh bột xắt là món ăn dân dã đặc trưng của miền Tây, đặc biệt nổi tiếng tại Bến Tre – quê hương xứ dừa. Món này được làm từ bột gạo và bột năng, cán mỏng rồi cắt thành sợi, sau đó nấu cùng nước dùng thơm ngon từ xương, vịt hoặc tôm thịt kết hợp nước cốt dừa béo ngậy. Thành phẩm mang đến sợi bánh vừa mềm vừa dai, nước súp đậm đà và mùi thơm hấp dẫn, thể hiện trọn vẹn nét mộc mạc của vùng sông nước. Bánh canh bột xắt có thể thưởng thức quanh năm, nhưng đặc biệt thích hợp vào những ngày se lạnh hay dịp lễ Tết như Đoan Ngọ, mang lại cảm giác ấm cúng, dân dã và đậm chất đồng quê miền Tây.",D30.png
D31,Lẩu cháo cua đồng,"Món cháo, Món lẩu","Béo, Ngọt",Bến Tre,Mùa mưa,"Gạo, Hải sản, Trứng",Rau củ quả,"Lẩu cháo cua đồng Bến Tre là một món ăn đặc sản đầy độc đáo, kết hợp hài hòa giữa vị ngọt thanh tự nhiên của cua đồng và sự tươi mát của các loại rau quê như rau ngót, mồng tơi, mướp hương... Điểm đặc biệt làm nên sự khác biệt của món lẩu này chính là phần nước dùng đậm đà, thơm phức, được gia giảm khéo léo với gừng thái sợi cùng chén nước mắm chấm mang hương vị truyền thống. Để tăng thêm độ béo ngậy và hấp dẫn cho nồi lẩu, thực khách có thể thêm hột vịt lộn. Không cần phải dùng kèm cơm, bún hay mì, chỉ cần nhúng rau xanh và các nguyên liệu như thịt bò, trứng,..vào nồi lẩu là đủ tạo nên trải nghiệm ẩm thực trọn vẹn. Đây là món có thể thưởng thức trong mùa hè để thanh nhiệt, hoặc vào mùa mưa để làm ấm cơ thể.",D31.png
D32,Bún gỏi già,Món nước,"Ngọt, Mặn",Tiền Giang,Quanh năm,"Bún, Hải sản, Thịt",Mắm,"Bún gỏi già là một món đặc sản độc đáo mang đậm hương vị miền Tây Nam Bộ, đặc biệt là vùng Mỹ Tho, Tiền Giang. Linh hồn của món ăn chính là phần nước dùng chất lượng, được ninh từ xương heo, tôm và thịt ba chỉ để tạo độ ngọt thanh tự nhiên. Khi ăn kèm cùng nước cốt mắm cá linh nguyên chất, hương vị món ăn càng thêm cuốn hút và thơm ngon, không hề thua kém món Hủ tiếu Mỹ Tho nổi tiếng. Đặc biệt, tô Bún gỏi già không cần phải nêm thêm gia vị mà vẫn trọn vẹn đậm đà, vừa miệng. Đây chắc chắn là một món ăn không thể bỏ qua khi ghé thăm Tiền Giang.",D32.png
D33,Bánh giá chợ Giồng,Món bánh,"Mặn, Ngọt",Tiền Giang,Quanh năm,"Bột, Thịt, Hải sản",Rau củ quả,"Bánh giá chợ Giồng là một món ăn đặc sản nổi bật của vùng Gò Công, Tiền Giang, mang đậm dấu ấn văn hóa ẩm thực Nam Bộ. Xuất hiện từ thế kỷ 17, đây là món ăn vặt độc đáo được chế biến từ bột gạo, đậu xanh cùng giá đỗ, chiên giòn với phần nhân gồm tôm, thịt, giá sống và mộc nhĩ. Bánh có vị béo ngậy, thơm lừng và thường được thưởng thức kèm rau sống cùng nước mắm chua ngọt. Đây chắc chắn là một món ăn không thể bỏ qua khi ghé thăm Tiền Giang.",D33.png
D34,Chuối quết dừa,Món bánh,"Ngọt, Béo",Tiền Giang,Mùa mưa,Trái cây,Nước cốt dừa,"Chuối quết dừa là một món ăn vặt dân dã và đậm phong vị đặc trưng của Tiền Giang. Món ăn này được chế biến từ chuối xanh như chuối già hoặc chuối sứ, được luộc hoặc hấp chín, sau đó đập dẹt (hay quết) để tạo độ mềm dẻo. Phần chuối đã xử lý được trộn đều với hỗn hợp gồm nước cốt dừa thơm béo, dừa nạo sợi trắng ngần, đường, muối, mè rang thơm giòn, và đôi khi có thêm đậu phộng rang tạo nên hương vị ngọt béo hài hòa, mang đậm chất quê với mùi thơm dễ chịu bao phủ. Món này không chỉ là một món ăn chơi để nhâm nhi lúc rảnh rỗi, nó còn có khả năng giúp no lâu và thích hợp để thưởng thức vào những ngày trời mưa rả rích, khi tiết trời se lạnh làm người ta háo hức tìm đến những món ăn ấm áp, thơm ngon và đủ đầy dư vị quê hương.",D34.png
D35,Vú sữa Lò rèn,Trái cây,"Ngọt, Béo",Tiền Giang,Mùa tết,Trái cây,Tất cả,"Vú sữa Lò Rèn là một loại trái cây đặc sản nức tiếng của xã Vĩnh Kim, Tiền Giang. Mùa thu hoạch chính thường bắt đầu từ khoảng tháng 9 âm lịch và kéo dài đến tháng 4 năm sau, trong đó thời kỳ cao điểm rơi vào dịp cuối năm và Tết Nguyên Đán. Loại quả này nổi bật với dáng tròn lớn, lớp vỏ mỏng bóng mượt, phần thịt dày màu trắng đục, vị ngọt thanh dịu kết hợp chút béo ngậy, cùng mùi hương đặc trưng không thể nhầm lẫn. Và loại trái cây này đã trở thành lựa chọn lý tưởng để thưởng thức như một món tráng miệng tuyệt vời sau mỗi bữa ăn.",D35.png
D36,Dừa sáp,Trái cây,"Ngọt, Béo",Trà Vinh,Mùa trái cây,Trái cây,Tất cả,"Dừa sáp là đặc sản nổi tiếng của Cầu Kè, Trà Vinh. Vụ thu hoạch chính kéo dài từ tháng 4 đến tháng 9 với năng suất cao và giá ổn định. Loại dừa này hiếm vì chỉ một số ít quả có lớp sáp độc đáo. Dừa sáp hấp dẫn bởi cơm dừa dày, mềm béo và hương vị vượt trội. Nước dừa đặc sánh, trong như thạch, mang vị ngọt mát khó quên. Ngoài ngon miệng, dừa sáp giàu dinh dưỡng, được ví như “thần dược” tự nhiên. Một ly dừa sáp mát lạnh thật hoàn hảo cho mùa hè nóng bức!",D36.png
